fwew,fdf,True;;True;
fwew;fdf;True;
fwew;fdf;True;comment;
fwew;fdf;True;comment;
fwew;fdf;True;;
Валеев;EA-1231;True;Потому что все пошло не так как ожидалось!;
EA-9677;arin;True;;
EA-1231;vals;False;;
Валеев;EA-1231;True;fdsfsdfsd;
EA-9677;tasha;True;;
EA-1231;pchel;False;;
;;True;;
EA-1231;Арипов;True;Долго согласовывали и обсуждали детали;
Проект;Никита;True;;
Проект;Никита;True;;
Проект;Никита;True;;
Проект;Никита;True;;
Проект;Никита;True;;
Проект;Никита;True;;
Проект;Никита;False;;
Проект;Никита;True;лрпораорарароп;
